CODE,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume
KAPC,111,148,100,100,100,98.5,1.5,1.50%,"7,800"
KAPC,111,148,100,100,100,100,-,-,"7,600"
KAPC,111,148,100,100,100,100,-,-,"12,600"
KAPC,111,148,100,100,100,100,-,-,"1,400"
KAPC,111,148,100,100,100,100,-,-,"8,100"
KAPC,111,148,100,100,100,100,-,-,"10,800"
KAPC,111,148,100,102,100,100,-,-,"60,000"
KAPC,111,148,100,100,100,100,-,-,"16,800"
KAPC,111,148,100,100,100,100,-,-,"20,800"
KAPC,111,148,100,100,100,100,-,-,"42,200"
KAPC,111,148,100,105,100,100,-,-,"187,300"
KAPC,111,148,110,110,110,100,10,9.09%,"2,500"
KAPC,111,148,110,121,111,110,1,0.90%,"73,400"
KAPC,111,148,110,120,112,111,1,0.89%,"11,300"
KAPC,111,148,122,123,122,112,10,8.20%,"10,100"
KAPC,111,148,125,130,125,122,3,2.40%,"9,500"
KAPC,111,148,125,135,132,125,7,5.30%,"21,200"
KAPC,111,148,131,135,132,132,-,-,"3,600"
KAPC,111,148,120,130,124,132,-8,6.45%,"26,100"
KAPC,111,148,120,125,122,124,-2,1.64%,"13,600"
KAPC,111,148,120,124,121,122,-1,0.83%,"1,200"
KAPC,111,148,112,122,116,121,-5,4.31%,"1,300"
KAPC,111,148,120,126,123,116,7,5.69%,"7,400"
KAPC,111,148,125,125,125,123,2,1.60%,"5,000"
KAPC,111,148,120,123,122,125,-3,2.46%,"1,600"
KAPC,111,148,120,120,120,122,-2,1.67%,"2,500"
KAPC,111,148,122,125,124,120,4,3.23%,"11,400"
KAPC,111,148,122,125,124,124,-,-,"24,500"
KAPC,111,148,122,125,123,124,-1,0.81%,"1,500"
KAPC,111,148,125,125,125,123,2,1.60%,"20,500"
KAPC,111,148,120,125,120,125,-5,4.17%,"13,100"
KAPC,111,148,120,125,124,120,4,3.23%,"10,100"
KAPC,111,148,125,125,125,124,1,0.80%,900
KAPC,111,148,125,125,125,125,-,-,200
KAPC,111,148,125,126,125,125,-,-,"1,200"
KAPC,111,148,125,125,125,125,-,-,800
KAPC,111,148,120,123,122,125,-3,2.46%,"3,300"
KAPC,111,148,118,118,118,122,-4,3.39%,"1,000"
KAPC,111,148,115,115,115,118,-3,2.61%,500
KAPC,111,148,120,125,123,115,8,6.50%,"3,000"
KAPC,111,148,115,115,115,123,-8,6.96%,200
KAPC,111,148,113,114,113,115,-2,1.77%,700
KAPC,111,148,114,115,114,113,1,0.88%,"1,300"
KAPC,111,148,115,115,115,114,1,0.87%,300
KAPC,111,148,115,115,115,115,-,-,500
KAPC,111,148,115,125,121,115,6,4.96%,600
KAPC,111,148,112,115,113,121,-8,7.08%,200
KAPC,111,148,105,105,105,113,-8,7.62%,100
KAPC,111,148,105,110,105,105,-,-,"2,500"
KAPC,111,148,105,105,105,105,-,-,"2,600"
KAPC,111,148,112,112,112,105,7,6.25%,"6,500"
KAPC,111,148,120,122,120,112,8,6.67%,"4,300"
KAPC,111,148,120,124,120,120,-,-,"2,900"
KAPC,111,148,120,120,120,120,-,-,500
KAPC,111,148,108,120,116,120,-4,3.45%,"2,300"
KAPC,111,148,108,109,108,116,-8,7.41%,"3,000"
KAPC,111,148,110,112,110,108,2,1.82%,"2,300"
KAPC,111,148,112,115,112,110,2,1.79%,"2,200"
KAPC,111,148,115,115,115,112,3,2.61%,100
KAPC,111,148,115,115,115,115,-,-,"2,000"
KAPC,111,148,117,117,117,115,2,1.71%,"1,000"
KAPC,111,148,120,120,120,117,3,2.50%,500
KAPC,111,148,117,117,117,120,-3,2.56%,100
KAPC,111,148,120,120,120,117,3,2.50%,700
KAPC,111,148,120,120,120,120,-,-,900
KAPC,111,148,117,117,117,120,-3,2.56%,"1,000"
KAPC,111,148,115,115,115,117,-2,1.74%,500
KAPC,111,148,117,117,117,115,2,1.71%,100
KAPC,111,148,113,115,114,117,-3,2.63%,"2,600"
KAPC,111,148,115,115,115,114,1,0.87%,"1,500"
KAPC,111,148,115,115,115,115,-,-,"1,200"
KAPC,111,148,115,115,115,115,-,-,300
KAPC,111,148,115,115,115,115,-,-,200
KAPC,111,148,115,116,115,115,-,-,"5,000"
KAPC,111,148,115,115,115,115,-,-,100
KAPC,111,148,112,112,112,115,-3,2.68%,"1,000"
KAPC,111,148,109,110,109,112,-3,2.75%,"1,800"
KAPC,111,148,112,112,112,109,3,2.68%,800
KAPC,111,148,112,112,112,112,-,-,"5,000"
KAPC,111,148,106,106,106,112,-6,5.66%,200
KAPC,111,148,106,108,106,106,-,-,"6,400"
KAPC,111,148,106,106,106,106,-,-,"3,700"
KAPC,111,148,108,108,108,106,2,1.85%,100
KAPC,111,148,107,108,107,108,-1,0.93%,"5,300"
KAPC,111,148,108,108,108,107,1,0.93%,"2,500"
KAPC,111,148,109,109,109,108,1,0.92%,"2,000"
KAPC,111,148,109,109,109,109,-,-,200
KAPC,111,148,100,109,104,109,-5,4.81%,"1,100"
KAPC,111,148,105,105,105,104,1,0.95%,"1,000"
KAPC,111,148,105,105,105,105,-,-,100
KAPC,111,148,109,109,109,105,4,3.67%,400
KAPC,111,148,105,107,106,109,-3,2.83%,"1,400"
KAPC,111,148,105,105,105,106,-1,0.95%,500
KAPC,111,148,106,106,106,105,1,0.94%,500
KAPC,111,148,106,106,106,106,-,-,"1,000"
KAPC,111,148,99,105,99.5,106,-6.5,6.53%,"1,100"
KAPC,111,148,95,106,103,99.5,3.5,3.40%,"1,200"
KAPC,111,148,109,109,109,103,6,5.50%,"1,400"
KAPC,111,148,108,108,108,109,-1,0.93%,"3,800"
KAPC,111,148,107,108,107,108,-1,0.93%,900
KAPC,111,148,103,103,103,107,-4,3.88%,300
KAPC,111,148,95,95,95,103,-8,8.42%,500
KAPC,111,148,95,95,95,95,-,-,100
KAPC,111,148,88,95,92,95,-3,3.26%,"4,500"
KAPC,111,148,90,90,90,92,-2,2.22%,200
KAPC,111,148,93,93,93,90,3,3.23%,400
KAPC,111,148,93,100,96.5,93,3.5,3.63%,400
KAPC,111,148,93,93,93,96.5,-3.5,3.76%,300
KAPC,111,148,90,93,90.5,93,-2.5,2.76%,"2,100"
KAPC,111,148,92,92,92,90.5,1.5,1.63%,100
KAPC,111,148,92,92,92,92,-,-,500
KAPC,111,148,95,96,95.5,92,3.5,3.66%,"1,700"
KAPC,111,148,95,95,95,95.5,-0.5,0.53%,900
KAPC,111,148,94,94,94,95,-1,1.06%,100
KAPC,111,148,92,94,92,94,-2,2.17%,800
KAPC,111,148,95,95,95,92,3,3.16%,300
KAPC,111,148,90,90,90,95,-5,5.56%,100
KAPC,111,148,90,90,90,90,-,-,"2,200"
KAPC,111,148,90,90,90,90,-,-,300
KAPC,111,148,89,89,89,90,-1,1.12%,100
KAPC,111,148,95,95,95,89,6,6.32%,"2,000"
KAPC,111,148,98,98,98,95,3,3.06%,100
KAPC,111,148,98,98,98,98,-,-,"2,000"
KAPC,111,148,90,90,90,98,-8,8.89%,100
KAPC,111,148,90,90,90,90,-,-,100
KAPC,111,148,84,84,84,90,-6,7.14%,"2,500"
KAPC,111,148,90,90,90,84,6,6.67%,"1,100"
KAPC,111,148,81,81.5,81,90,-9,11.11%,"3,000"
KAPC,111,148,81,81,81,81,-,-,300
KAPC,111,148,81,81,81,81,-,-,"1,100"
KAPC,111,148,83,83,83,81,2,2.41%,"2,200"
KAPC,111,148,82,82,82,83,-1,1.22%,"2,500"
KAPC,111,148,83,83,83,82,1,1.20%,100
KAPC,111,148,90,90,90,83,7,7.78%,"1,300"
KAPC,111,148,90,90,90,90,-,-,"1,000"
KAPC,111,148,90,90,90,90,-,-,"3,000"
KAPC,111,148,90,90,90,90,-,-,"1,000"
KAPC,111,148,90,90,90,90,-,-,"1,300"
KAPC,111,148,85,90,87.5,90,-2.5,2.86%,200
KAPC,111,148,89.5,89.5,89.5,87.5,2,2.23%,500
KAPC,111,148,85,85,85,89.5,-4.5,5.29%,200
KAPC,111,148,90,90,90,85,5,5.56%,100
KAPC,111,148,81,81,81,90,-9,11.11%,700
KAPC,111,148,75,75,75,81,-6,8.00%,"25,000"
KAPC,111,148,72,72,72,75,-3,4.17%,600
KAPC,111,148,75,75,75,72,3,4.00%,"10,000"
KAPC,111,148,75,75,75,75,-,-,200
KAPC,111,148,72,72,72,75,-3,4.17%,"1,000"
KAPC,111,148,76,76,76,72,4,5.26%,400
KAPC,111,148,76,76,76,76,-,-,"1,700"
KAPC,111,148,76,76,76,76,-,-,300
KAPC,111,148,76,76,76,76,-,-,200
KAPC,111,148,78,78,78,76,2,2.56%,"10,000"
KAPC,111,148,79,79,79,78,1,1.27%,100
KAPC,111,148,79,82,80,79,1,1.25%,"5,000"
KAPC,111,148,82,82,82,80,2,2.44%,"2,200"
KAPC,111,148,79,79,79,82,-3,3.80%,100
KAPC,111,148,79,79,79,79,-,-,"8,600"
KAPC,111,148,79,79,79,79,-,-,100
KAPC,111,148,79,79,79,79,-,-,200
KAPC,111,148,78,78,78,79,-1,1.28%,100
KAPC,111,148,80,80,80,78,2,2.50%,100
KAPC,111,148,78,78,78,80,-2,2.56%,200
KAPC,111,148,77.5,79,78,78,-,-,500
KAPC,111,148,75,75,75,78,-3,4.00%,600
KAPC,111,148,75,75,75,75,-,-,"3,000"
KAPC,111,148,75,75,75,75,-,-,500
KAPC,111,148,75,75,75,75,-,-,100
KAPC,111,148,75,75,75,75,-,-,200
KAPC,111,148,75,75,75,75,-,-,100
KAPC,111,148,70,70,70,75,-5,7.14%,"2,000"
KAPC,111,148,70,70,70,70,-,-,"3,900"
KAPC,111,148,70,70,70,70,-,-,"5,000"
KAPC,111,148,70,70,70,70,-,-,"3,500"
KAPC,111,148,68,68,68,70,-2,2.94%,500
KAPC,111,148,94.5,94.5,94.5,86,8.5,8.99%,400
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,94.5,94.5,94.5,94.5,-,-,0
KAPC,111,148,90,90,90,94.5,-4.5,5.00%,"53,700"
KAPC,111,148,90,94.5,90,90,-,-,"4,200"
KAPC,111,148,90,90,90,90,-,-,0
KAPC,111,148,99,99,99,90,9,9.09%,"10,000"
KAPC,111,148,99,99,99,99,-,-,0
KAPC,111,148,92,100,92,99,-7,7.61%,"17,800"
KAPC,111,148,100,100,100,92,8,8.00%,500
KAPC,111,148,105,108,107,100,7,6.54%,"5,500"
KAPC,111,148,117,117,117,107,10,8.55%,"1,000"
KAPC,111,148,127,127,127,117,10,7.87%,"5,500"
KAPC,111,148,139,139,139,127,12,8.63%,"2,100"
KAPC,111,148,135,143,137,139,-2,1.46%,"40,000"
KAPC,111,148,145,150,148,137,11,7.43%,"23,400"
KAPC,111,148,152,152,152,148,4,2.63%,"3,000"
KAPC,111,148,162,167,166,152,14,8.43%,"4,600"
KAPC,111,148,175,175,175,166,9,5.14%,"3,200"
KAPC,111,148,176,177,176,175,1,0.57%,300
KAPC,111,148,166,166,166,176,-10,6.02%,200
KAPC,111,148,166,166,166,166,-,-,0
KAPC,111,148,150,150,150,166,-16,10.67%,800
KAPC,111,148,140,140,140,150,-10,7.14%,500
KAPC,111,148,140,140,140,140,-,-,500
KAPC,111,148,140,140,140,140,-,-,0
KAPC,111,148,145,154,145,140,5,3.45%,"59,100"
KAPC,111,148,145,145,145,145,-,-,0
KAPC,111,148,146,146,146,145,1,0.68%,200
KAPC,111,148,146,146,146,146,-,-,0
KAPC,111,148,146,146,146,146,-,-,0
KAPC,111,148,149,150,149,146,3,2.01%,"60,100"
KAPC,111,148,146,146,146,149,-3,2.05%,100
KAPC,111,148,146,146,146,146,-,-,0
KAPC,111,148,140,143,141,146,-5,3.55%,"2,600"
KAPC,111,148,141,141,141,141,-,-,0
KAPC,111,148,141,141,141,141,-,-,0
KAPC,111,148,141,141,141,141,-,-,0
KAPC,111,148,141,141,141,141,-,-,0
KAPC,111,148,145,145,145,141,4,2.76%,200
KAPC,111,148,145,145,145,145,-,-,0
KAPC,111,148,145,145,145,145,-,-,0
KAPC,111,148,145,145,145,145,-,-,0
KAPC,111,148,138,140,139,145,-6,4.32%,"1,500"
KAPC,111,148,138,138,138,139,-1,0.72%,"1,200"
KAPC,111,148,140,140,140,138,2,1.43%,100
KAPC,111,148,138,140,139,140,-1,0.72%,"1,000"
KAPC,111,148,139,139,139,139,-,-,0
KAPC,111,148,139,139,139,139,-,-,500
KAPC,111,148,139,139,139,139,-,-,0
KAPC,111,148,139,139,139,139,-,-,0
KAPC,111,148,139,139,139,139,-,-,0
KAPC,111,148,140,140,140,139,1,0.71%,300
KAPC,111,148,140,140,140,140,-,-,0
KAPC,111,148,140,140,140,140,-,-,0
KAPC,111,148,140,140,140,140,-,-,500
KAPC,111,148,140,140,140,140,-,-,500
KAPC,111,148,140,140,140,140,-,-,500
KAPC,111,148,140,140,140,140,-,-,0
KAPC,111,148,140,140,140,140,-,-,0
KAPC,111,148,140,140,140,140,-,-,300
KAPC,111,148,140,140,140,140,-,-,100
KAPC,111,148,140,140,140,140,-,-,0
KAPC,111,148,140,145,143,140,3,2.10%,"2,000"
KAPC,111,148,143,143,143,143,-,-,0
KAPC,111,148,139,143,139,143,-4,2.88%,"1,500"
KAPC,111,148,138,138,138,139,-1,0.72%,"1,000"
KAPC,111,148,138,138,138,138,-,-,0
KAPC,111,148,138,138,138,138,-,-,0
KAPC,111,148,138,138,138,138,-,-,0
KAPC,111,148,138,138,138,138,-,-,300
KAPC,111,148,138,138,138,138,-,-,200
KAPC,111,148,138,138,138,138,-,-,400
KAPC,111,148,138,138,138,138,-,-,0
KAPC,111,148,138,138,138,138,-,-,0
KAPC,111,148,138,138,138,138,-,-,100
KAPC,111,148,138,138,138,138,-,-,"1,500"
KAPC,111,148,138,138,138,138,-,-,0
KAPC,111,148,138,138,138,138,-,-,500
KAPC,111,148,138,138,138,138,-,-,"4,800"
KAPC,111,148,138,138,138,138,-,-,700
KAPC,111,148,138,138,138,138,-,-,200
KAPC,111,148,140,140,140,138,2,1.43%,200
KAPC,111,148,140,140,140,140,-,-,0
KAPC,111,148,140,140,140,140,-,-,200
KAPC,111,148,140,140,140,140,-,-,0
KAPC,111,148,140,140,140,140,-,-,0
KAPC,111,148,140,140,140,140,-,-,0
KAPC,111,148,140,140,140,140,-,-,0
KAPC,111,148,140,145,144,140,4,2.78%,"5,700"
KAPC,111,148,145,145,145,144,1,0.69%,"5,300"
KAPC,111,148,146,150,149,145,4,2.68%,"2,400"
KAPC,111,148,150,150,150,149,1,0.67%,"5,400"
KAPC,111,148,150,150,150,150,-,-,300
KAPC,111,148,150,150,150,150,-,-,200
KAPC,111,148,150,150,150,150,-,-,"1,300"
KAPC,111,148,150,150,150,150,-,-,0
KAPC,111,148,149,149,149,150,-1,0.67%,"2,300"
KAPC,111,148,149,149,149,149,-,-,700
KAPC,111,148,140,150,147,149,-2,1.36%,400
KAPC,111,148,140,149,142,147,-5,3.52%,"2,800"
KAPC,111,148,145,150,145,142,3,2.07%,"1,100"
KAPC,111,148,140,140,140,145,-5,3.57%,300
KAPC,111,148,140,140,140,140,-,-,"3,000"
KAPC,111,148,140,140,140,140,-,-,0
KAPC,111,148,140,140,140,140,-,-,0
KAPC,111,148,140,145,144,140,4,2.78%,"1,000"
KAPC,111,148,140,140,140,144,-4,2.86%,600
KAPC,111,148,145,145,145,140,5,3.45%,200
KAPC,111,148,140,145,142,145,-3,2.11%,"1,500"
KAPC,111,148,140,144,140,142,-2,1.43%,600
KAPC,111,148,140,140,140,140,-,-,400
KAPC,111,148,140,140,140,140,-,-,900
KAPC,111,148,140,140,140,140,-,-,0
KAPC,111,148,140,140,140,140,-,-,0
KAPC,111,148,145,150,149,140,9,6.04%,600
KAPC,111,148,145,145,145,149,-4,2.76%,200
KAPC,111,148,145,145,145,145,-,-,0
KAPC,111,148,141,145,141,145,-4,2.84%,600
KAPC,111,148,145,145,145,141,4,2.76%,300
KAPC,111,148,143,146,145,145,-,-,"2,200"
KAPC,111,148,145,145,145,145,-,-,0
KAPC,111,148,145,145,145,145,-,-,0
KAPC,111,148,145,145,145,145,-,-,100
KAPC,111,148,145,145,145,145,-,-,0
KAPC,111,148,145,145,145,145,-,-,0
KAPC,111,148,145,145,145,145,-,-,0
KAPC,111,148,145,145,145,145,-,-,0
KAPC,111,148,145,145,145,145,-,-,0
KAPC,111,148,131,131,131,145,-14,10.69%,100
KAPC,111,148,125,125,125,131,-6,4.80%,"1,200"
KAPC,111,148,125,125,125,125,-,-,0
KAPC,111,148,125,125,125,125,-,-,0
KAPC,111,148,125,125,125,125,-,-,0
KAPC,111,148,125,125,125,125,-,-,0
KAPC,111,148,125,131,129,125,4,3.10%,"2,400"
KAPC,111,148,125,130,127,129,-2,1.57%,"2,000"
KAPC,111,148,130,130,130,127,3,2.31%,"2,400"
KAPC,111,148,130,130,130,130,-,-,0
KAPC,111,148,135,135,135,130,5,3.70%,"1,500"
KAPC,111,148,135,135,135,135,-,-,0
KAPC,111,148,135,135,135,135,-,-,0
KAPC,111,148,145,145,145,135,10,6.90%,100
KAPC,111,148,145,145,145,145,-,-,0
KAPC,111,148,145,145,145,145,-,-,0
KAPC,111,148,145,145,145,145,-,-,0
KAPC,111,148,131,131,131,145,-14,10.69%,"4,600"
KAPC,111,148,131,131,131,131,-,-,0
KAPC,111,148,131,131,131,131,-,-,0
KAPC,111,148,133,133,133,131,2,1.50%,"7,300"
